filename,width,height,class,xmin,ymin,xmax,ymax
0ecfa542-1aa2-49aa-b9af-0d40d92fc2bc-0-mirrored.jpg,1500,2000,5V EXPANSION,913,1148,1403,1621
0ecfa542-1aa2-49aa-b9af-0d40d92fc2bc-0.jpg,1500,2000,5V EXPANSION,97,1148,587,1621
0ecfa542-1aa2-49aa-b9af-0d40d92fc2bc-180-mirrored.jpg,1500,2000,5V EXPANSION,97,379,587,852
0ecfa542-1aa2-49aa-b9af-0d40d92fc2bc-180.jpg,1500,2000,5V EXPANSION,913,379,1403,852
0ecfa542-1aa2-49aa-b9af-0d40d92fc2bc-270-mirrored.jpg,1500,2000,5V EXPANSION,379,913,852,1403
0ecfa542-1aa2-49aa-b9af-0d40d92fc2bc-270.jpg,1500,2000,5V EXPANSION,1148,913,1621,1403
0ecfa542-1aa2-49aa-b9af-0d40d92fc2bc-90-mirrored.jpg,1500,2000,5V EXPANSION,1148,97,1621,587
0ecfa542-1aa2-49aa-b9af-0d40d92fc2bc-90.jpg,1500,2000,5V EXPANSION,379,97,852,587
12962f5f-19f0-4118-949a-1ab16fb9c822-0-mirrored.jpg,1500,2000,5V EXPANSION,441,159,1024,651
12962f5f-19f0-4118-949a-1ab16fb9c822-0.jpg,1500,2000,5V EXPANSION,476,159,1059,651
12962f5f-19f0-4118-949a-1ab16fb9c822-180-mirrored.jpg,1500,2000,5V EXPANSION,476,1349,1059,1841
12962f5f-19f0-4118-949a-1ab16fb9c822-180.jpg,1500,2000,5V EXPANSION,441,1349,1024,1841
12962f5f-19f0-4118-949a-1ab16fb9c822-270-mirrored.jpg,1500,2000,5V EXPANSION,1349,441,1841,1024
12962f5f-19f0-4118-949a-1ab16fb9c822-270.jpg,1500,2000,5V EXPANSION,159,441,651,1024
12962f5f-19f0-4118-949a-1ab16fb9c822-90-mirrored.jpg,1500,2000,5V EXPANSION,159,476,651,1059
12962f5f-19f0-4118-949a-1ab16fb9c822-90.jpg,1500,2000,5V EXPANSION,1349,476,1841,1059
263825362_1316241032152831_2616353867758852564_n-0-mirrored.jpg,720,960,MOTOR,528,454,664,584
263825362_1316241032152831_2616353867758852564_n-0-mirrored.jpg,720,960,5V EXPANSION,422,331,570,481
263825362_1316241032152831_2616353867758852564_n-0-mirrored.jpg,720,960,SENSOR,452,585,561,640
263825362_1316241032152831_2616353867758852564_n-0.jpg,720,960,MOTOR,56,454,192,584
263825362_1316241032152831_2616353867758852564_n-0.jpg,720,960,5V EXPANSION,150,331,298,481
263825362_1316241032152831_2616353867758852564_n-0.jpg,720,960,SENSOR,159,585,268,640
263825362_1316241032152831_2616353867758852564_n-180-mirrored.jpg,720,960,MOTOR,56,376,192,506
263825362_1316241032152831_2616353867758852564_n-180-mirrored.jpg,720,960,5V EXPANSION,150,479,298,629
263825362_1316241032152831_2616353867758852564_n-180-mirrored.jpg,720,960,SENSOR,159,320,268,375
263825362_1316241032152831_2616353867758852564_n-180.jpg,720,960,MOTOR,528,376,664,506
263825362_1316241032152831_2616353867758852564_n-180.jpg,720,960,5V EXPANSION,422,479,570,629
263825362_1316241032152831_2616353867758852564_n-180.jpg,720,960,SENSOR,452,320,561,375
263825362_1316241032152831_2616353867758852564_n-270-mirrored.jpg,720,960,MOTOR,376,528,506,664
263825362_1316241032152831_2616353867758852564_n-270-mirrored.jpg,720,960,5V EXPANSION,479,422,629,570
263825362_1316241032152831_2616353867758852564_n-270-mirrored.jpg,720,960,SENSOR,320,452,375,561
263825362_1316241032152831_2616353867758852564_n-270.jpg,720,960,MOTOR,454,528,584,664
263825362_1316241032152831_2616353867758852564_n-270.jpg,720,960,5V EXPANSION,331,422,481,570
263825362_1316241032152831_2616353867758852564_n-270.jpg,720,960,SENSOR,585,452,640,561
263825362_1316241032152831_2616353867758852564_n-90-mirrored.jpg,720,960,MOTOR,454,56,584,192
263825362_1316241032152831_2616353867758852564_n-90-mirrored.jpg,720,960,5V EXPANSION,331,150,481,298
263825362_1316241032152831_2616353867758852564_n-90-mirrored.jpg,720,960,SENSOR,585,159,640,268
263825362_1316241032152831_2616353867758852564_n-90.jpg,720,960,MOTOR,376,56,506,192
263825362_1316241032152831_2616353867758852564_n-90.jpg,720,960,5V EXPANSION,479,150,629,298
263825362_1316241032152831_2616353867758852564_n-90.jpg,720,960,SENSOR,320,159,375,268
264870894_664881068203670_7095080667299054951_n-0-mirrored.jpg,720,960,5V EXPANSION,248,213,442,351
264870894_664881068203670_7095080667299054951_n-0.jpg,720,960,5V EXPANSION,278,213,472,351
264870894_664881068203670_7095080667299054951_n-180-mirrored.jpg,720,960,5V EXPANSION,278,609,472,747
264870894_664881068203670_7095080667299054951_n-180.jpg,720,960,5V EXPANSION,248,609,442,747
264870894_664881068203670_7095080667299054951_n-270-mirrored.jpg,720,960,5V EXPANSION,609,248,747,442
264870894_664881068203670_7095080667299054951_n-270.jpg,720,960,5V EXPANSION,213,248,351,442
264870894_664881068203670_7095080667299054951_n-90-mirrored.jpg,720,960,5V EXPANSION,213,278,351,472
264870894_664881068203670_7095080667299054951_n-90.jpg,720,960,5V EXPANSION,609,278,747,472
264905192_297376568974147_8071562271401086097_n-0-mirrored.jpg,720,960,5V EXPANSION,292,258,456,442
264905192_297376568974147_8071562271401086097_n-0-mirrored.jpg,720,960,UNO R3,274,479,493,646
264905192_297376568974147_8071562271401086097_n-0-mirrored.jpg,720,960,SENSOR,87,838,225,960
264905192_297376568974147_8071562271401086097_n-0.jpg,720,960,5V EXPANSION,264,258,428,442
264905192_297376568974147_8071562271401086097_n-0.jpg,720,960,UNO R3,227,479,446,646
264905192_297376568974147_8071562271401086097_n-0.jpg,720,960,SENSOR,495,838,633,960
264905192_297376568974147_8071562271401086097_n-180-mirrored.jpg,720,960,5V EXPANSION,264,518,428,702
264905192_297376568974147_8071562271401086097_n-180-mirrored.jpg,720,960,UNO R3,227,314,446,481
264905192_297376568974147_8071562271401086097_n-180-mirrored.jpg,720,960,SENSOR,495,0,633,122
264905192_297376568974147_8071562271401086097_n-180.jpg,720,960,5V EXPANSION,292,518,456,702
264905192_297376568974147_8071562271401086097_n-180.jpg,720,960,UNO R3,274,314,493,481
264905192_297376568974147_8071562271401086097_n-180.jpg,720,960,SENSOR,87,0,225,122
264905192_297376568974147_8071562271401086097_n-270-mirrored.jpg,720,960,5V EXPANSION,518,292,702,456
264905192_297376568974147_8071562271401086097_n-270-mirrored.jpg,720,960,UNO R3,314,274,481,493
264905192_297376568974147_8071562271401086097_n-270-mirrored.jpg,720,960,SENSOR,0,87,122,225
264905192_297376568974147_8071562271401086097_n-270.jpg,720,960,5V EXPANSION,258,292,442,456
264905192_297376568974147_8071562271401086097_n-270.jpg,720,960,UNO R3,479,274,646,493
264905192_297376568974147_8071562271401086097_n-270.jpg,720,960,SENSOR,838,87,960,225
264905192_297376568974147_8071562271401086097_n-90-mirrored.jpg,720,960,5V EXPANSION,258,264,442,428
264905192_297376568974147_8071562271401086097_n-90-mirrored.jpg,720,960,UNO R3,479,227,646,446
264905192_297376568974147_8071562271401086097_n-90-mirrored.jpg,720,960,SENSOR,838,495,960,633
264905192_297376568974147_8071562271401086097_n-90.jpg,720,960,5V EXPANSION,518,264,702,428
264905192_297376568974147_8071562271401086097_n-90.jpg,720,960,UNO R3,314,227,481,446
264905192_297376568974147_8071562271401086097_n-90.jpg,720,960,SENSOR,0,495,122,633
264913457_877590006258665_7843395544752957854_n-0-mirrored.jpg,720,960,5V EXPANSION,313,352,511,485
264913457_877590006258665_7843395544752957854_n-0.jpg,720,960,5V EXPANSION,209,352,407,485
264913457_877590006258665_7843395544752957854_n-180-mirrored.jpg,720,960,5V EXPANSION,209,475,407,608
264913457_877590006258665_7843395544752957854_n-180.jpg,720,960,5V EXPANSION,313,475,511,608
264913457_877590006258665_7843395544752957854_n-270-mirrored.jpg,720,960,5V EXPANSION,475,313,608,511
264913457_877590006258665_7843395544752957854_n-270.jpg,720,960,5V EXPANSION,352,313,485,511
264913457_877590006258665_7843395544752957854_n-90-mirrored.jpg,720,960,5V EXPANSION,352,209,485,407
264913457_877590006258665_7843395544752957854_n-90.jpg,720,960,5V EXPANSION,475,209,608,407
264916992_352714699951228_6922402767426109297_n-0-mirrored.jpg,720,960,MOTOR,422,539,563,673
264916992_352714699951228_6922402767426109297_n-0-mirrored.jpg,720,960,SENSOR,277,564,386,698
264916992_352714699951228_6922402767426109297_n-0-mirrored.jpg,720,960,5V EXPANSION,422,375,604,523
264916992_352714699951228_6922402767426109297_n-0.jpg,720,960,MOTOR,157,539,298,673
264916992_352714699951228_6922402767426109297_n-0.jpg,720,960,SENSOR,334,564,443,698
264916992_352714699951228_6922402767426109297_n-0.jpg,720,960,5V EXPANSION,116,375,298,523
264916992_352714699951228_6922402767426109297_n-180-mirrored.jpg,720,960,MOTOR,157,287,298,421
264916992_352714699951228_6922402767426109297_n-180-mirrored.jpg,720,960,SENSOR,334,262,443,396
264916992_352714699951228_6922402767426109297_n-180-mirrored.jpg,720,960,5V EXPANSION,116,437,298,585
264916992_352714699951228_6922402767426109297_n-180.jpg,720,960,MOTOR,422,287,563,421
264916992_352714699951228_6922402767426109297_n-180.jpg,720,960,SENSOR,277,262,386,396
264916992_352714699951228_6922402767426109297_n-180.jpg,720,960,5V EXPANSION,422,437,604,585
264916992_352714699951228_6922402767426109297_n-270-mirrored.jpg,720,960,MOTOR,287,422,421,563
264916992_352714699951228_6922402767426109297_n-270-mirrored.jpg,720,960,SENSOR,262,277,396,386
264916992_352714699951228_6922402767426109297_n-270-mirrored.jpg,720,960,5V EXPANSION,437,422,585,604
264916992_352714699951228_6922402767426109297_n-270.jpg,720,960,MOTOR,539,422,673,563
264916992_352714699951228_6922402767426109297_n-270.jpg,720,960,SENSOR,564,277,698,386
264916992_352714699951228_6922402767426109297_n-270.jpg,720,960,5V EXPANSION,375,422,523,604
264916992_352714699951228_6922402767426109297_n-90-mirrored.jpg,720,960,MOTOR,539,157,673,298
264916992_352714699951228_6922402767426109297_n-90-mirrored.jpg,720,960,SENSOR,564,334,698,443
264916992_352714699951228_6922402767426109297_n-90-mirrored.jpg,720,960,5V EXPANSION,375,116,523,298
264916992_352714699951228_6922402767426109297_n-90.jpg,720,960,MOTOR,287,157,421,298
264916992_352714699951228_6922402767426109297_n-90.jpg,720,960,SENSOR,262,334,396,443
264916992_352714699951228_6922402767426109297_n-90.jpg,720,960,5V EXPANSION,437,116,585,298
264916992_4823229781073193_6214739273784269056_n-0-mirrored.jpg,720,960,SENSOR,400,530,539,745
264916992_4823229781073193_6214739273784269056_n-0.jpg,720,960,SENSOR,181,530,320,745
264916992_4823229781073193_6214739273784269056_n-180-mirrored.jpg,720,960,SENSOR,181,215,320,430
264916992_4823229781073193_6214739273784269056_n-180.jpg,720,960,SENSOR,400,215,539,430
264916992_4823229781073193_6214739273784269056_n-270-mirrored.jpg,720,960,SENSOR,215,400,430,539
264916992_4823229781073193_6214739273784269056_n-270.jpg,720,960,SENSOR,530,400,745,539
264916992_4823229781073193_6214739273784269056_n-90-mirrored.jpg,720,960,SENSOR,530,181,745,320
264916992_4823229781073193_6214739273784269056_n-90.jpg,720,960,SENSOR,215,181,430,320
264925659_439762944289731_7305249710246032607_n-0-mirrored.jpg,720,960,5V EXPANSION,0,248,678,873
264925659_439762944289731_7305249710246032607_n-0.jpg,720,960,5V EXPANSION,42,248,720,873
264925659_439762944289731_7305249710246032607_n-180-mirrored.jpg,720,960,5V EXPANSION,42,87,720,712
264925659_439762944289731_7305249710246032607_n-180.jpg,720,960,5V EXPANSION,0,87,678,712
264925659_439762944289731_7305249710246032607_n-270-mirrored.jpg,720,960,5V EXPANSION,87,0,712,678
